route	page	#	station	text
Anglia	0167	007	BROXBOURNE	Platform 4 -172m (188 yds)
Anglia	0170	004	HARLOW MILL	Up platform - 168m (182 yd)
Anglia	0170	005	HARLOW MILL	Down platform - 168m (182 yd)
Anglia	0171	001	SAWBRIDGEWORTH	Up platform - 281m (308yds)
Anglia	0171	002	SAWBRIDGEWORTH	Down platform - 249m (273yds)
Anglia	0172	003	BISHOPS STORTFORD	Platform 1 - 251m (271 yds) PP-A (Down)
Anglia	0172	004	BISHOPS STORTFORD	Platform 2 - 251m (271 yds) PP-A
Anglia	0172	005	BISHOPS STORTFORD	Platform 3 - 251m (271 yds) PP
Anglia	0173	001	STANSTED MOUNTFITCHET	Up platform - 255m (279yds)
Anglia	0173	002	STANSTED MOUNTFITCHET	Down platform - 255m (279yds)
Anglia	0175	001	AUDLEY END	Up platform - 248m (268yd)
Anglia	0175	002	AUDLEY END	Down platform - 248m (268yd)
Anglia	0176	002	GREAT CHESTERFORD	Up platform - 167m (180yd)
Anglia	0176	003	GREAT CHESTERFORD	Down platform - 167m (180yd)
Anglia	0177	001	WHITTLESFORD PARKWAY	Up platform -254m (275 yd)
Anglia	0177	002	WHITTLESFORD PARKWAY	Down platform -254m (275 yd)
Anglia	0178	002	SHELFORD	Up platform - 180m (195 yd)
Anglia	0178	003	SHELFORD	Down platform - 180m (195 yd)
Anglia	0180	002	CAMBRIDGE	Platform 1 - 255m (278 yd) PP-A
Anglia	0180	004	CAMBRIDGE	Platform 2 - 207m (224 yd) PP
Anglia	0180	006	CAMBRIDGE	Platform 3 - 166m (179 yd) PP
Anglia	0180	008	CAMBRIDGE	Platform 4 - 220m (237 yd) PP-A
Anglia	0180	010	CAMBRIDGE	Platform 5 - 121m (132 yd) PP
Anglia	0180	012	CAMBRIDGE	Platform 6 - 145m (157 yd) PP
Anglia	0180	014	CAMBRIDGE	Platform 7 - 270m (295 yd) PP-A
Anglia	0180	016	CAMBRIDGE	Platform 8 - 270m (295 yd) PP-A
Anglia	0180	018	CAMBRIDGE	P7 - Platform 7 line
Anglia	0183	001	WATERBEACH	Up platform - 90m (97 yds)
Anglia	0183	002	WATERBEACH	Down platform - 86m (93 yds)
Anglia	0188	003	LITTLEPORT	Up platform - 86m (93 yd)
Anglia	0188	004	LITTLEPORT	Down platform - 86m (93 yd)
Anglia	0191	003	DOWNHAM MARKET	Up platform - 183m (198 yd)
Anglia	0191	004	DOWNHAM MARKET	Down platform - 181m (196 yd)
Anglia	0192	003	WATLINGTON	Down platform - 90m (97 yd)
Anglia	0192	004	WATLINGTON	Up platform - 106m (114 yd)
Anglia	0204	001	CHINGFORD	Platform 1 - 167m (183yd) PP
Anglia	0204	002	CHINGFORD	Platform 2 - 193m (211yd) PP
Anglia	0204	003	CHINGFORD	Platform 3 - 186m (203yd) PP
Anglia	0206	001	WARE	Platform - 165m (180 yds)
Anglia	0207	001	HERTFORD EAST	Platform 1 - 165m (179 yd) PP
Anglia	0207	002	HERTFORD EAST	Platform 2 - 165m (179 yd) PP
Anglia	0209	004	STANSTED AIRPORT	Platform 1 - 359 metres (393yds) PP
Anglia	0209	005	STANSTED AIRPORT	Platform 2 - 106 metres (117yds) PP
Anglia	0209	006	STANSTED AIRPORT	Platform 3 - 291 metres (315yds) PP
Anglia	0211	002	SHEPRETH	Up platform - 97m (105yds)
Anglia	0211	003	SHEPRETH	Down platform - 171m (187yds)
Anglia	0212	002	FOXTON	Up platform - 105m (113yds)
Anglia	0212	003	FOXTON	Down platform - 174m (190yds)
Anglia	0214	001	STRATFORD	Platform 11 - 231m (252yds)
Anglia	0214	002	STRATFORD	Platform 12 - 182m (199yds)
Anglia	0224	002	GUNNERSBURY	Up Platform - 130m (140yds)
Anglia	0224	003	GUNNERSBURY	Down Platform - 112m (121yds)
Anglia	0232	003	STRATFORD	Platform 1 - 144m (157yds) PP
Anglia	0232	004	STRATFORD	Platform 2 - 130m (142yds) PP
Anglia	0244	001	GOSPEL OAK	Platform 3 - 97m (105yds) PP
Anglia	0249	001	FENCHURCH STREET	Platform 1 - 250m (270yd) PP
Anglia	0249	002	FENCHURCH STREET	Platform 2 - 250m (270yd) PP
Anglia	0249	003	FENCHURCH STREET	Platform 3 - 250m (270yd) PP
Anglia	0249	004	FENCHURCH STREET	Platform 4 - 250m (270yd) PP
Anglia	0250	002	LIMEHOUSE	Up platform - 250m (270yd)
Anglia	0250	003	LIMEHOUSE	Down Platform - 250m (270yd)
Anglia	0253	006	BARKING	Platform 4 - 278m (301yds) PP-C
Anglia	0253	007	BARKING	Platform 5 - 257m (278yds) PP-C
Anglia	0253	008	BARKING	Platform 7 - 246m (266yds)
Anglia	0253	009	BARKING	Platform 8 - 257m (278yds)
Anglia	0256	005	UPMINSTER	Platform 1 - 247m (267yds) PP-C
Anglia	0256	006	UPMINSTER	Platform 2 - 247m (267yds) PP-C
Anglia	0261	003	SOUTHEND CENTRAL	Platform 1 - 248m (268yds) PP
Anglia	0261	004	SOUTHEND CENTRAL	Platform 2 - 251m (271yds) PP-C
Anglia	0261	005	SOUTHEND CENTRAL	Platform 3 - 276m (299yds) PP-C
Anglia	0261	006	SOUTHEND CENTRAL	Platform 4 - 248m (268yds) PP
Anglia	0263	003	SHOEBURYNESS	Platform 1 - 255m (276yds) PP
Anglia	0263	004	SHOEBURYNESS	Platform 2 - 264m (286yds) PP
Anglia	0263	005	SHOEBURYNESS	Platform 3 - 181m (196yds) PP
Anglia	0265	011	DAGENHAM DOCK	Up Platform - 247 metres (270 yards)
Anglia	0265	012	DAGENHAM DOCK	Down Platform - 243 metres (265 yards)
Anglia	0266	001	RAINHAM	Up Platform - 247 metres (270 yards)
Anglia	0266	002	RAINHAM	Down Platform - 242 metres (264 yards)
Anglia	0267	001	PURFLEET	Up Platform - 266 metres (291 yards)
Anglia	0267	002	PURFLEET	Down Platform - 246 metres (269 yards)
Anglia	0269	001	GRAYS	Platform 1 - 247 metres (270 yards)
Anglia	0269	002	GRAYS	Platform 2 - 253 metres (277 yards)
Anglia	0269	003	GRAYS	Platform 3 - 173 metres (189 yards)
Anglia	0270	001	TILBURY TOWN	Up Platform - 249 metres (270 yards)
Anglia	0270	002	TILBURY TOWN	Down Platform - 247 metres (269 yards)
Anglia	0273	001	PITSEA	Platform 3 - 251 metres (275 yards) PP-C
Anglia	0273	002	PITSEA	Platform 4 - 244 metres (267 yards) PP-C
Anglia	0276	001	CHAFFORD HUNDRED	Platform - 242m (262yds)
Anglia	0282	003	WOODBRIDGE	Up platform - 142m (130m (141 yd) stop)
Anglia	0282	004	WOODBRIDGE	Down platform - 129m (53m (57 yd) stop)
Anglia	0285	008	SAXMUNDHAM	Up platform - 108m (117 yds)
Anglia	0285	009	SAXMUNDHAM	Down platform - 60m (63 yds)
Anglia	0286	005	DARSHAM	Up platform - 147m (159 yds)
Anglia	0286	006	DARSHAM	Down platform - 98m (106 yds)
Anglia	0288	006	HALESWORTH	Up platform - 152m (66m (71 yds) stop)
Anglia	0288	007	HALESWORTH	Down platform - 96m (66m (71 yds) stop)
Anglia	0289	003	BRAMPTON	Platform - 152m (106 yd)
Anglia	0290	003	BECCLES	Down Platform - 125m (135 yd)
Anglia	0290	004	BECCLES	Up Platform - 125m (135 yd)
Anglia	0292	003	OULTON BROAD SOUTH	Platform - 138m (149 yds)
Anglia	0294	004	DERBY ROAD	Up Platform - 137m (80m (87 yds) in use)
Anglia	0294	005	DERBY ROAD	Down Platform - 137m (106m (114 yds) in use)
Anglia	0300	002	BUCKENHAM	Down platform - 135m (52m (56yds) in use)
Anglia	0300	003	BUCKENHAM	Up platform - 60m (64yds)
Anglia	0302	002	HADDISCOE	Up platform - 46m (49yds)
Anglia	0302	003	HADDISCOE	Down platform - 182m (85m (92yds) in use)
Anglia	0304	004	LOWESTOFT	Platform 2 - 214m (121m(131yds) in use. PP
Anglia	0304	005	LOWESTOFT	Platform 3 - 229m (247yds) PP
Anglia	0304	006	LOWESTOFT	Platform 4 - 229m (247yds) PP
Anglia	0308	009	WORSTEAD	Platform - 79m (84 yds)
Anglia	0312	003	LINGWOOD	Platform - 92m (99 yds)
Anglia	0313	005	ACLE	Up platform - 119m (130 yds)
Anglia	0313	006	ACLE	Down platform - 69m (73 yds)
Anglia	0315	002	YARMOUTH	Platform 2 - 297m (322 yds) PP
Anglia	0315	003	YARMOUTH	Platform 3 - 180m (196 yds) PP
Anglia	0315	004	YARMOUTH	Platform 4 - 282m (306 yds) PP
Anglia	0317	004	BERNEY ARMS	Platform - 18m (19 yds)
Anglia	0320	001	DULLINGHAM	Up platform - 94m (102 yds)
Anglia	0320	002	DULLINGHAM	Down platform - 103m (111 yds)
Anglia	0321	001	NEWMARKET	Platform - 238m (260 yds)
Anglia	0322	001	KENNETT	Up platform - 54m (58 yds)
Anglia	0322	002	KENNETT	Down platform - 78m (81 yds)
Anglia	0324	009	THURSTON	Up platform - 86m (93 yds)
Anglia	0324	010	THURSTON	Down platform - 90m (97 yds)
Anglia	0325	001	ELMSWELL	Up platform - 62m (64 yds)
Anglia	0325	002	ELMSWELL	Down platform - 62m (64 yds)
Anglia	0333	003	MANEA	Up platform - 49m (53yds)
Anglia	0333	004	MANEA	Down Platform - 42m (45yds)
Anglia	0336	001	MARCH	Up platform - 114m (125yds)
Anglia	0336	002	MARCH	Down platform - 114m (125yds)
Anglia	0338	001	WHITTLESEA	Up platform - 62m (67yds)
Anglia	0338	002	WHITTLESEA	Down platform - 42m (45yds)
Anglia	0342	015	SHIPPEA HILL	Up platform - 132m (143yds)
Anglia	0342	016	SHIPPEA HILL	Down platform - 147m (159yds)
Anglia	0343	003	LAKENHEATH	Up platform - 119m (130yds)
Anglia	0343	004	LAKENHEATH	Down platform - 149m (161yds)
Anglia	0344	006	BRANDON	Up platform - 91m (98yds)
Anglia	0344	007	BRANDON	Down platform - 91m (98yds)
Anglia	0348	003	ATTLEBOROUGH	Up platform - 128m (138yds)
Anglia	0348	004	ATTLEBOROUGH	Down platform - 114m (123yds)
Kent-Sussex-Wessex	0233	007	VICTORIA	Platforms 1-8 PP
Kent-Sussex-Wessex	0237	006	HERNE HILL	2 The lines through Tulse Hill platforms are
Kent-Sussex-Wessex	0240	001	BECKENHAM JN	Platforms 1-4 PP
Kent-Sussex-Wessex	0248	006	ROCHESTER	Platform 3 PP-A (Down direction)
Kent-Sussex-Wessex	0248	008	ROCHESTER	Also permitted for platform sharing during
Kent-Sussex-Wessex	0253	003	SITTINGBOURNE	Platform2 PP-A
Kent-Sussex-Wessex	0253	004	SITTINGBOURNE	Platform 3 PP-A
Kent-Sussex-Wessex	0253	005	SITTINGBOURNE	Also permitted for platform sharing
Kent-Sussex-Wessex	0255	004	FAVERSHAM	Platform1 PP
Kent-Sussex-Wessex	0255	005	FAVERSHAM	Platform Z2 PP
Kent-Sussex-Wessex	0255	006	FAVERSHAM	Platform3 PP -A
Kent-Sussex-Wessex	0255	007	FAVERSHAM	Platform4 PP
Kent-Sussex-Wessex	0260	003	RAMSGATE	Platforms 1-4 PP
Kent-Sussex-Wessex	0260	004	RAMSGATE	All platform lines are reversible.
Kent-Sussex-Wessex	0262	004	CANNON STREET	Platforms 1-7 PP
Kent-Sussex-Wessex	0263	001	CHARING CROSS	Platforms 1-6 PP
Kent-Sussex-Wessex	0265	004	LONDON BRIDGE	Platforms 2,8 9 - PF (Class 6,7,8 0 trains)
Kent-Sussex-Wessex	0275	001	ORPINGTON	Platform 1 PP
Kent-Sussex-Wessex	0275	002	ORPINGTON	Platform 2 PP-A
Kent-Sussex-Wessex	0275	003	ORPINGTON	Platform 3 PP-A
Kent-Sussex-Wessex	0275	004	ORPINGTON	Platform 4 PP-A
Kent-Sussex-Wessex	0275	005	ORPINGTON	Platform 5 PP-A
Kent-Sussex-Wessex	0275	006	ORPINGTON	Platform 6 PP
Kent-Sussex-Wessex	0275	007	ORPINGTON	Platform 7 PP
Kent-Sussex-Wessex	0275	008	ORPINGTON	Platform 7 PP
Kent-Sussex-Wessex	0277	001	SEVENOAKS	Platform 1 PP-A
Kent-Sussex-Wessex	0277	002	SEVENOAKS	Platform 2 PP-A
Kent-Sussex-Wessex	0277	003	SEVENOAKS	Platform 3 PP-A
Kent-Sussex-Wessex	0277	004	SEVENOAKS	Platform 4 PP-A
Kent-Sussex-Wessex	0277	005	SEVENOAKS	Also permitted for platform sharing
Kent-Sussex-Wessex	0279	002	TONBRIDGE	and Up Slow platform lines in the
Kent-Sussex-Wessex	0312	004	DOVER PRIORY	Platform 1 PP
Kent-Sussex-Wessex	0312	005	DOVER PRIORY	Platform 2 PP
Kent-Sussex-Wessex	0312	006	DOVER PRIORY	Platform 3 PP
Kent-Sussex-Wessex	0326	002	MINSTER	Platform 2 PP.A (Dstaching only)
Kent-Sussex-Wessex	0347	002	BLACKFRIARS	Platform Lengths
Kent-Sussex-Wessex	0347	003	BLACKFRIARS	Platform 1 - 269 metres
Kent-Sussex-Wessex	0347	004	BLACKFRIARS	Platform 2 - 282 metres
Kent-Sussex-Wessex	0347	005	BLACKFRIARS	Platform 3 - 282 metres (PP)
Kent-Sussex-Wessex	0347	006	BLACKFRIARS	Platform 4 - 284 metres (PP)
Kent-Sussex-Wessex	0350	007	HERNE HILL	(M The lines through Tulse Hill platforms are
Kent-Sussex-Wessex	0367	004	DARTFORD	Platform 1-4 PP-A
Kent-Sussex-Wessex	0367	005	DARTFORD	All platforms - permitted for platform sharing during
Kent-Sussex-Wessex	0376	005	MAIDSTONE WEST	Platform1 PP-A
Kent-Sussex-Wessex	0376	006	MAIDSTONE WEST	Platform2 PP-A
Kent-Sussex-Wessex	0385	007	VICTORIA	Platforms 9-19 PP
Kent-Sussex-Wessex	0392	002	EAST CROYDON	slow and slow reversible platform
Kent-Sussex-Wessex	0397	001	REDHILL	Platform 0 PP
Kent-Sussex-Wessex	0397	002	REDHILL	Platform 1 PP
Kent-Sussex-Wessex	0397	003	REDHILL	Platform 2 PP
Kent-Sussex-Wessex	0397	004	REDHILL	Platform 3 PP-A (detaching only)
Kent-Sussex-Wessex	0400	003	GATWICK AIRPORT	Platform 2 PP
Kent-Sussex-Wessex	0400	004	GATWICK AIRPORT	Platform 3 PP
Kent-Sussex-Wessex	0402	002	THREE BRIDGES	down and up slow platform lines
Kent-Sussex-Wessex	0404	006	HAYWARDS HEATH	Platform 1 PP-A
Kent-Sussex-Wessex	0404	007	HAYWARDS HEATH	Platform 2 PP-A (detaching only)
Kent-Sussex-Wessex	0404	008	HAYWARDS HEATH	Platform3 PP-A
Kent-Sussex-Wessex	0404	009	HAYWARDS HEATH	Platform 4 PP-A
Kent-Sussex-Wessex	0416	003	NORWOOD JN	down slow platform line.
Kent-Sussex-Wessex	0424	004	HORSHAM	Platform 2 PP-A
Kent-Sussex-Wessex	0431	002	BARNHAM	Platform 1 (Up direction) PP
Kent-Sussex-Wessex	0431	003	BARNHAM	Platform 1 (Down direction) PP-A (Detaching only)
Kent-Sussex-Wessex	0431	004	BARNHAM	Platform 2 (Up direction) PP
Kent-Sussex-Wessex	0431	005	BARNHAM	Platform 2 (Down direction) PP-A (Detaching only)
Kent-Sussex-Wessex	0431	006	BARNHAM	Platform 3 (Up direction) PP
Kent-Sussex-Wessex	0440	003	PORTSMOUTH HARBOUR	Platforms 1-5 PP
Kent-Sussex-Wessex	0456	008	LEWES	Platform 1 PP-A (detaching only)
Kent-Sussex-Wessex	0456	010	LEWES	Platform 2 PP-A
Kent-Sussex-Wessex	0456	011	LEWES	Also permitted for platform sharing
Kent-Sussex-Wessex	0462	006	EASTBOURNE	Platform 1-3 PP
Kent-Sussex-Wessex	0468	002	HASTINGS	Platform 1 PP-C
Kent-Sussex-Wessex	0475	003	LEWES	and up main platform lines.
Kent-Sussex-Wessex	0480	002	HOVE	Platform2 PP-A
Kent-Sussex-Wessex	0480	003	HOVE	Platform 3 PP-A (detaching only)
Kent-Sussex-Wessex	0488	001	LITTLEHAMPTON	Platforms 1-4 PP
Kent-Sussex-Wessex	0489	001	BOGNOR REGIS	Platforms 1-3 PP
Kent-Sussex-Wessex	0505	004	STREATHAM	Platform 1 PP-A (detaching only)
Kent-Sussex-Wessex	0513	003	WIMBLEDON	platform line.
Kent-Sussex-Wessex	0585	001	WATERLOO	Platforms 1-24 PP
Kent-Sussex-Wessex	0587	011	VAUXHALL	MPVs through Platform 7 (Up Main Slow
Kent-Sussex-Wessex	0591	013	CLAPHAM JUNCTION	Platform 1 PP
Kent-Sussex-Wessex	0601	001	WEYBRIDGE	(1) Up Bay Platform
Kent-Sussex-Wessex	0601	002	WEYBRIDGE	Platform 1 PP
Kent-Sussex-Wessex	0603	008	WOKING	Platforms 1 - 5 PP-A
Kent-Sussex-Wessex	0603	010	WOKING	Platform 6 PP
Kent-Sussex-Wessex	0608	006	BASINGSTOKE	Platforms 1-3 PP-A
Kent-Sussex-Wessex	0608	007	BASINGSTOKE	Platform 4 PP
Kent-Sussex-Wessex	0608	008	BASINGSTOKE	Platform 5 PP
Kent-Sussex-Wessex	0615	020	EASTLEIGH	platforms 2 and 3
Kent-Sussex-Wessex	0619	005	SOUTHAMPTON CENTRAL	Platform 1 PP-A
Kent-Sussex-Wessex	0619	006	SOUTHAMPTON CENTRAL	Platform 2 PP
Kent-Sussex-Wessex	0619	007	SOUTHAMPTON CENTRAL	Platform 3 PP
Kent-Sussex-Wessex	0619	008	SOUTHAMPTON CENTRAL	Platform 4 PP-A
Kent-Sussex-Wessex	0619	009	SOUTHAMPTON CENTRAL	All platform lines are Reversible
Kent-Sussex-Wessex	0627	004	BROCKENHURST	Up main platform lines for trains from Lymington
Kent-Sussex-Wessex	0630	002	BOURNEMOUTH	Platforms 2 3 PP-A
Kent-Sussex-Wessex	0642	003	WEYMOUTH	Platforms 1- 3 PP
Kent-Sussex-Wessex	0644	003	GUILDFORD	Platform 1 PP
Kent-Sussex-Wessex	0644	004	GUILDFORD	Platform 2 PP
Kent-Sussex-Wessex	0644	005	GUILDFORD	Platform 3 PP
Kent-Sussex-Wessex	0644	006	GUILDFORD	Platform 4 PP-A
Kent-Sussex-Wessex	0644	007	GUILDFORD	Platform 5 PP
Kent-Sussex-Wessex	0644	008	GUILDFORD	Platform 6 PP
Kent-Sussex-Wessex	0644	009	GUILDFORD	Platform 7 PP
Kent-Sussex-Wessex	0644	010	GUILDFORD	Platform 8 PP
Kent-Sussex-Wessex	0644	011	GUILDFORD	Platform No.s 3, 5, 6/7 and 8
Kent-Sussex-Wessex	0657	002	PORTSMOUTH HARBOUR	Platforms 1 - 5 PP
Kent-Sussex-Wessex	0662	001	SALISBURY	Platform 2 PP
Kent-Sussex-Wessex	0662	002	SALISBURY	Platform 3 PP
Kent-Sussex-Wessex	0662	003	SALISBURY	Platform 4 PP
Kent-Sussex-Wessex	0662	004	SALISBURY	Platform 5 PP-C
